source;entiteit;veld;label;min;max;type;default;choice_list
field_61af592c31542;Apprenticeships;master;Master;0;;text;;
field_61af594631543;Apprenticeships;livery_clone;Livery;0;;clone;;
field_62827bcf6c256;Apprenticeships;start_date;Start date;0;;alt_date_picker;;
field_61af6adb4951c;Livery company affiliations;livery_clone;Livery;0;;clone;;
field_61af6adb4951b;Livery company affiliations;role;Role;0;;select;;Freeman|Liveryman|Warden|Master|Treasurer|Secretary
field_61af6b3b4951d;Livery company affiliations;start_date;Start date;0;;alt_date_picker;;
field_61af6b4b4951e;Livery company affiliations;end_date;End date;0;;alt_date_picker;;
field_6202469399a8c;Other business activities;region_clone;Region;0;;clone;;
field_620246da01310;Other business activities;economic_sector;Economic sector;0;;select;;banking|charity|commerce|government|infrastructure|insurance|land|manufacturing|mining|privateering|shipping|servant|tax_farmer
field_627cf2838caca;Other business activities;details;Details;0;;textarea;;
field_61b36f555a013;Will;probate_date;Probate date;0;;alt_date_picker;;
field_61b36f905a014;Will;value;Value of Total Personalty;0;;number;;
field_628f8bcee842b;Will;value_known_legacies;Value of Known Legacies (where material to total estate);0;;number;;
field_61b3711f5a016;Will;occupation;Occupation;0;;text;;
field_61b371025a015;Will;town_city_clone;Town/city;0;;clone;;
field_61b37162122e5;Will;courts;Courts;0;;textarea;;
field_61b3712a5a017;Will;notes;Notes;0;;textarea;;
field_627cc6358fa77;Investments;company;Company;1;;radio;;Company of Royal Adventurers|Royal African Company|South Sea Company
field_615d6fab21e1d;Investments;source_of_investment_funds;Source of Investment Funds;0;;text;;
field_615d6fb421e1e;Investments;size_of_investment;Size of Investment;0;;number;;
field_619e656d726e6;Investments;date_of_purchase;Date of Purchase;0;;alt_date_picker;;
field_619e65a2f879b;Investments;date_of_sale;Date of Sale;0;;alt_date_picker;;
field_615d705c21e1f;Investments;profitable;Profitable;0;;true_false;;
field_615d706d21e20;Investments;destination_for_profits;Destination for Profits;0;;text;;
field_61ae30145b57a;Investments;location;Investment Location;0;;clone;;
field_627cda05efa78;Investments;data_source;Data source;0;;textarea;;
group_61546f76d9a4d;Crossing;voyageid;Voyage ID;1;;text;;
group_61546f76d9a4d;Crossing;corporate;Corporate;0;;true_false;;
group_61546f76d9a4d;Crossing;vessel;Vessel;0;;group;;
group_61546f76d9a4d;Crossing;journey;Journey;0;;group;;
group_61546f76d9a4d;Crossing;enslaved_people;Enslaved people;0;;group;;
group_61546f76d9a4d;Crossing;outcome;Outcome;0;;textarea;;
field_6154702adb1dd;Vessel;name;Name;0;;text;;
field_61547091db1e0;Vessel;flags;Flags;0;;select;;denmark-baltic|france|gb|netherlands|portugal-brazil|spain-uruguay|sweden|usa|other
field_61aa2ed75a32f;Vessel;tonnage;Tonnage;0;;number;;
field_61547035db1de;Journey;startyear;Departure Year;0;;number;;
field_61546ff9db1da;Journey;departure_location;Departure Location;1;;text;;
field_61547070db1df;Journey;endyear;Arrival Year;0;;number;;
field_61aa2e82814ea;Journey;arrival_location;Arrival Location;1;;text;;
field_61aa30fbf0fb4;Enslaved people;principal_purchase_location;Principal purchase location;0;;text;;
field_61aa310ff0fb5;Enslaved people;principal_landing_location;Principal landing location;0;;text;;
field_619e64460781b;Enslaved people;embarked;Number embarked;0;;number;;
field_6155e3bd2aeac;Enslaved people;disembarked;Number disembarked;0;;number;;
field_61aa2d5d83b41;Enslaved people;deaths;Number of deaths;0;;number;;
group_63848848b080a;Place;town_of_place;Town ID;0;;number;;
group_63848848b080a;Place;town_city;Town/City;0;;text;;
